AICM Control ID,Control Domain,Control Title,Control Type,Relevance,AegisGate Features,Implementation Evidence
A&A-01,Audit & Assurance - A&A,Audit and Assurance Policy and Procedures,Cloud & AI Related,partial,compliance; audit; evidence,Compliance evidence generation (pkg/evidence/builder.go) produces signed audit artifacts; audit trail (pkg/audit/handler.go) records security events; 31 framework modules generate ControlCheckResult evidence per pkg/compliance/module.go. Does not define organizational audit policies — implements technical audit evidence collection.
A&A-02,Audit & Assurance - A&A,Independent Assessments,Cloud & AI Related,partial,audit; evidence; compliance,SOC 2 audit automation (pkg/audit/soc2/) generates audit-ready workpapers; attestation envelopes (pkg/attestation/attestation.go) provide tamper-evident evidence; evidence builder (pkg/evidence/builder.go) signs packages with ECDSA P-256. Reports include per-control pass/fail with evidence strings.
A&A-03,Audit & Assurance - A&A,Risk Based Planning Assessment,Cloud & AI Related,partial,audit; evidence; compliance,"Risk-based compliance scanning (pkg/compliance/module.go — ControlCheckResult with Severity field) prioritizes controls by severity; residual risk assessment in framework_mapping.go (73KB, 1,398 lines) quantifies gaps; posture checks (pkg/posture/check.go) identify configuration risks."
A&A-04,Audit & Assurance - A&A,Requirements Compliance,Cloud & AI Related,full,compliance,"31 compliance frameworks with automated regulatory cross-mapping (pkg/compliance/framework_mapping.go — 73KB, 1,398-line engine; pkg/compliance/framework_registration.go — 31 registerIntoRegistry calls) verify control compliance across HIPAA, PCI, GDPR, NIST AI RMF, ISO 42001, EU AI Act, SOC 2, CSA STAR, and 22 more."
A&A-05,Audit & Assurance - A&A,Audit Management Process,Cloud & AI Related,partial,audit; evidence; compliance,"Audit trail (pkg/audit/handler.go — search, event lookup, user timelines, stats) and SOC 2 workpapers (pkg/audit/soc2/report.go) support audit management; evidence packages (pkg/evidence/types.go — ControlResult with Description, Evidence, References) provide auditor-ready artifacts."
A&A-06,Audit & Assurance - A&A,Remediation,Cloud & AI Related,partial,compliance; incident; soar,Compliance scanner (pkg/compliance/module.go — FrameworkAssessment with Remediations field) identifies control failures; incident engine (pkg/incident/engine.go) and SOAR (pkg/soar/soar.go) enable remediation tracking; compliance reports (pkg/compliance/mapping/report.go) document findings.
AIS-01,Application & Interface Security - AIS,Application and Interface Security Policy and Procedures,Cloud & AI Related,partial,scanner; mcp_guardrails,"Application security enforced through proxy inspection (pkg/scanner/scanner.go — 216 regex patterns), MCP guardrails (pkg/mcpserver/guardrails.go — rate/session/tool limits), and response guard (pkg/response/guard.go — PII/secrets/toxicity/hallucination). Does not define org-level app security policies — implements runtime enforcement."
AIS-02,Application & Interface Security - AIS,Application Security Baseline Requirements,Cloud & AI Related,full,scanner; mcp_guardrails; response_guard,"Security baseline enforced: 216 detection patterns (pkg/scanner/patterns.go), MCP guardrails (pkg/mcpserver/guardrails.go — rate/session/tool limits, stdio validation), RBAC (pkg/rbac/manager.go — 4 agent + 4 user roles), tool authorization (pkg/toolauth/matrix.go — risk matrix with approval workflow)."
AIS-03,Application & Interface Security - AIS,Application Security Metrics,Cloud & AI Related,partial,metrics; reporting,"Application security metrics: Prometheus metrics (pkg/metrics/metrics.go — aegisgate_ prefixed, cardinality-safe labels) track detection counts, guardrail triggers, compliance scores; ACP metrics (pkg/acp/acp_metrics.go); ML metrics (pkg/ml/metrics.go); reporting wrapper (pkg/reporting/doc.go)."
AIS-04,Application & Interface Security - AIS,Secure Application Development Lifecycle,Cloud & AI Related,partial,scanner; mcp_guardrails; response_guard,"Secure development lifecycle for AI apps: input scanning (pkg/scanner/scanner.go) at every request, guardrails (pkg/mcpserver/guardrails.go) enforce runtime constraints, response scanning (pkg/response/guard.go) at every response. Proxy architecture ensures security is applied at every transaction, not just build time."
